原始文本	情绪化推理	以偏概全	乱贴标签	读心术	先知错误	非此即彼	应该句式	放大	罪责归己	心理过滤	否定正面思考	罪责归他	悲观情绪	比较与绝望	对比
i am sad	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
When doing some piecework online, I was told that my work was not good. I worked hard on these jobs, and was sure I had done well.	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
I'm not getting anywhere	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
I invited a co-worker out and they turned me down They will never want to go out with me	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0
I put in a lot of time on an Mturk task and was rejected on an attention request. I suggested a better way of handling these errors (automatic ejection) to the researcher and their answer showed they didn't understand my point. I didn't explain this right.	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
I'm so gross	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
My friend asked for help and I denied I'm self-centered	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
I know why I am so angry all of the time. like I have this little monster in my head. It just makes me want to abandon everything and hide from everyone so I lash out anymore. I just hate my brain. I am crazy.	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
That was really a terrible day	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
my parents don't love me and they never will	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
that i am alone and always will be	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0
afraid of people	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I was on a date and started to cough badly as the food was too hot I should have ordered a milder dish	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
I was addicted to heroin. I don't have a job.	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Most of them didn't mention my hair	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
I can't do anything right and I'm crying over spilling cereal on my bed and dress I'm worthless	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
I saw a profile picture of a close friend on a dating app that I had feelings for. I am not the kind of person that she would like to go out with.	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0
I read an old journal entry about a time that I was abusive. I will never be in a healthy relationship.	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
My girlfriend came home later than usual after work and didn't bother to call and let me know or answer the phone when I called to check on her. She acted like it was not big deal after she came home. My girlfriend is hiding something from me.	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
After I complained about not spending time together, my boyfriend did not want to go on a date last weekend. He doesn't love me.	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
it's too loud in here	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
He should have married Ann instead of Mary	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
not being smart enough	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
My husband did something for me even if it's clear I didn't want it. I don't know why I keep trying. I should just give up. Surrender. Sleep forever.	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
I have never done bowling before, so I will definitely be bad at this	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
I was on the phone with my boyfriend and he got a call on the other line. I assumed it was another girl calling him. I am not good enough.	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
why am i sad?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I__ a drug addict I will go crazy if I don't control my racing thoughts	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
I had a breakup I am the cause of the breakup	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
i'll never lose enough weight to look skinny	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
That's what my mom tells me growing up I'm worthless	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
My son's teacher cannot do anything right	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
depression and relationship issue	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Would my death have an impact on people? Like is there anyone on here that's had someone close to them commit suicide and knows what it's like? Would anyone care if I died?	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
I had been working on a project at work for a very long time, but a higher up manager contacted my boss and asked about it, insinuating I wasn't delivering it fast enough. I'm working on this as fast as I possibly can	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
I should have messaged him earlier	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
My friend and I had made plans months ago to go to a basketball game. The day before the game he calls me and says he cant go because he forgot he made plans with his wife. I started yelling at him and told him these tickets were expensive and you promised me. I was really angry for cancelling last minute because he has done this in the past I get upset when people cant keep there promises. The plans he made were not that critical. Why put me in a tough bind	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0
I feel like crap, so I'm probably a crappy person	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I am at a party where I do not know very many people. When I try to talk to a stranger, he gives one word replies and then ignores me. . I am being annoying.	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
My financial situation is going out of hand I'm worried about my future	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
I'm going to pig out all weekend	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Mary doesn't like me at all. She would never have shouted at me like that if she did	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
I'm hanging out with a friend chit chatting, but realizing he's not putting much effort, like usual, into having good conversation.  He just repeats the same thing ad nauseam. He's a nice guy, but I don't want to be friends with him any more as he's putting no effort into not being completely boring.	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
First interview after studying and getting my diploma. I'll screw it over	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
I had an opportunity to get a large bonus at work but I did not do well on task so no bonus I could have done so much better	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0
I went on a trip and heard a commercial for a kitchen appliance Did I leave the kitchen stove on? My entire house will burn down	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
She said she liked it, but she said that to everyone, so she was probably just trying to be nice	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
My sister asked my mother about me taking care of her cats instead of asking me directly. I don't matter.	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0
Our project is slowed down because they never made a point to contact me. This is all their fault	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
i hate to be told anything	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
I yelled at my child for being too fidgety during stories at bedtime. The kids will never settle down.	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
I never get what I want	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
my relationship is going downhill	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Communication worries	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I do gas stations audits and I messed up and forgot something I was supposed to do I felt like a failure and am ashamed I made this mistake	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
I feel as though I cannot do anything that is worth a damn. I dream of doing these wonderful things and yet, here I am on my overweight ass not doing anything. I'm mooching off my low-middle class parents with no regard to the future comsequences if I continue to stay at home doing nothing but sleeping and eating along with the occasional gaming or binging sessions. I have enormous self pity and self loathing for myself all the time. I fear of dying acconplishing nothing and yet don't care if I die at the same time. I also blame the world for making it impossible to live while also blaming myself. My life is hypocrisy incarnate. I'm worthless	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
I am unable to give my children any time A good mother spends time with her kids on some activity every night	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
My diet is not working I feel like a failure	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
secret drug use in my room My parents are judging me	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
I never do anything right	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
She's to blame for the way I feel	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
I got upset at my boss for not putting me in a temporary promotion to act as supervisor of our team. I wasn't valued as much as the other person.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
I've been sitting at my desk for a long time and I haven't been able to get anything done. I will lose my job eventually.	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
The meal should have been perfect	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
I have been studying for months for the real estate exam. When I went to take it, I did not pass by two points. I really have to pass, I need to work.	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
i feel angry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I am trying to diet but I gained weight this week. I don't have the discipline to diet.	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
I asked my daughter a question, and she responded in a snotty way. She doesn't love me like she used to.	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
She probably thinks I am the worst grandchild ever	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Stop making me feel bad about myself	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
I must have ordered a milder dish	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
I made this so awkward	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
My daughter spilled a drink on my desk. She ruined my project	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A potential client decided to work with another company. I failed our company & myself.	0	1	1	1	1	1	0	1	1	0	0	0	1	0	0
I have lost my temper like this in the previous job and was called into a disciplinary meeting, I will probably lose my job over this	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
feeling like i belong	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The team captain on my gaming team approached me to try to remove me as the vice captain on the team citing that they didn't think I was doing enough to assist them. You hardly communicate what you need at all. How am I supposed to help?	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0
She thought I didn't know the project	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
My friend has more followers on Twitter than me She is more successful than I am	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
I'm never going to get it together	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
My wife didn't look up from her phone or answer me when I came to talk to her. Am I not worth her time?	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
My girlfriend said I was a taker when I said she did not emotionally support me before going to a movie last Saturday. My girlfriend will leave me.	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0
Fighting, arguing, anger outburst, feeling powerless Feeling guilty and trapped in an abusive relationship. It reflects on all aspects of my life.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
I don't know why I am writing the essay Nobody cares what I have to say	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
My girlfriend was ignoring me for a while. She didn't like me anymore.	0	1	1	1	1	1	0	0	1	0	0	0	1	0	0
While in a group voice chat, everyone left me without saying goodbye. Does nobody want to talk to me?	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
My sister put pictures of everyone but me on her holiday card No one cares about me	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
I must look like a balloon	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Lack of monetary income	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
last week i went in for a job interview that i thought went very well but then i didnt get the job ill never be able to find a good job	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
I am not a good person in society	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
feeling so flat and unmotivated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
My friends invited me to go bowling this Saturday I bet all my friends will be amazing at bowling apart from me	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
I sent my boyfriend several long text messages to which he responded with only one sentence. I'm worried I'm annoying my boyfriend.	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
My wife accused me of cheating. She doesn't trust me.	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
I was so uncomfortable talking to this person. I don't have what it takes to make friends	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
I completely overreacted to my teenage son's grades. Why isn't this kid applying himself?	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
I ask out a co-worker who I became fond of recently but was turned down. I'm not good enough for her.	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0
I will never become a successful writer	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
I can feel everyone becoming distant with me, including my boyfriend. He just cheated on me not even a week ago and i cant bring myself to leave him no matter what he does. He does not care. I have no family, i only ever had him. Im annoying and i am never happy with anything and i hate myself for it because i want to be happy and i want to be a good person. I can feel my heart breaking more and more as i cone to the realization that i am not wanted nor needed. I am a problem.	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
We had bad storms in our community and some tornadoes came through and destroyed some of the area. No one in our extended family from out of town checked on me. I feel unloved and unwanted by my mother and siblings	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
That's what wives are supposed to do. So it doesn't count when she's nice to me	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Everyday life is too hard and I hate it. I wish I wouldn__ wake up.	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
People are always bullying me Everyone hates me	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A stranger looked at your dress. She thought that I look stupid	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Recent panic attack I'm not going to live up to my expectations for my future	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
If I had only pushed my husband to leave on time, this wouldn't have happened	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
i can't ever relax	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
I mustn't have eaten that	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
I am an awful person	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
always going to be lonely	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
i ate too much and too fast to temporarily please myself but not because i felt hunger i am not able to control my eating habits	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
If I talk, I will mess up and not say what I mean	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
My husband got two tickets to a Bruins game the other day and rather than asking me if I wanted to go with him he invited a friend. My husband doesn't want to spend time with me.	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0
I need to sell my home I am a financial failure	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Something scary is in the kitchen	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
My husband asked me to make sure I cleaned the cutting board better. I do so much around here and you are harping about the cutting board?	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Maybe they invited me to make fun of me	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Having problems coming up with words to write essay. I will get a bad grade.	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
I got bad grades in the exam My teacher is the reason I'm not doing well	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
I'm a bad mother	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Getting a mediocre evaluation proves how inadequate I am	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
My boss yelled at me I'm feeling sad	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
I'm pathetic	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
I am such an idiot	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ashamed and embarressed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lost best friend murdered this time of year a few years back. I'm worthless	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0
to get out of my marriage	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
everyone ignores. not their fault I know. Honestly my best friends have been treating me like dirt and idk what to do. I feel so pointless taken all my mental and emotional energy to even send this. No one cares about me	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
I'll be so upset, I won't be able to function at all	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
My wife was supposed to be home by now and she's not and it's raining really bad Did she get in a car crash?	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
My sister tried to commit suicide whilst at middle school I was not a good enough sister	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0
I should always do my best	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A new policy at work was established and required cooperation of efforts from another department in order to meet the new requirements. I took initiative and set meetings to talk about the new roles. After the meeting a verbal agreements were made I drafted a memorandum of agreement outlining the verbal agreements. A day later, the other department refused to participate because they did not want to do any extra work. We will not be able to complete the work that needs to be done	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
I fail all the time	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
I should always be friendly	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
They didn't like me, I'm unlovable	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
My partner was visiting her daughter, who was having surgery.  I got annoyed with her on the phone because she was being distracted. I wanted her to pay attention and not interrupt me.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
My girlfriend was distracted by other men at the gym. I'm not attractive enough.	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0
I'm a total failure	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Recently I found out that one of my coworkers with who I work closely, organized a party and I wasn't invited to the party. I felt left out and singled out in the office and wondered if the person had a personal grudge against me.	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
I only got good grades in two subjects. How could I have done so badly?	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
I shouldn't be so lazy	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
I called an old friend, but she wasn't home and didn't return my call. Maybe she doesn't want to talk to me anymore.	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
a girl i really liked would not go out on a date with me im not very attractive	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
I might lose my job	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
The meal must have been perfect	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
I was with friends and misinterpreted a comment and was upset for the wrong reasons. Turns out I misheard what was said and made a big deal out of nothing. Why are my friends treating me so harshly?	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0
People my age are more successful than I am	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
I yelled at my sister for not doing something correctly There will never be enough time to get everything done	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
I've been sitting at my desk for a long time and I haven't been able to get anything done. Other people are probably doing it better than me.	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
I am terrified of planes, so it must be dangerous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nothing ever goes my way	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
I didn't get all my work done today again. I'll get the sack	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Maybe he doesn't like me anymore	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
feeling down	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I don't have enough willpower	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
i still can't speak or understand korean, even after 6 months here i'm not good enough	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
I feel anxious, therefore I must be in danger	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I got a bad grade in one of the three assignments How could I have done so badly	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
I made a goal to quit smoking and failed I keep failing at this	0	1	1	0	1	1	1	1	0	0	0	0	1	0	0
Everything always goes badly for me	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
I want to shoot myself I have lost all hope	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
if i can't pass in college, i can't get a good job, or a good life	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
someday i'll stop trying	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
i celebrated a past holiday by myself why don't i have friends? why am i not social? SIGH!	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
I got a B on my exam. I'm a total failure	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
I feel she loves me, so it must be true	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I must be well by now	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
i overthink the worst possibility to happen	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Working on a project with Python and have not gotten it to successfully run. Why is it still messed up?	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
My niece's birthday party had twice the amount of people	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
I couldn't finish the task in time I'm incompetent	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Go fuck yourself Fuck you	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
He thinks I'm a loser	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
My boss interrupted my break to tell me to work I feel guilty	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I don__ do anything of value I'm a failure	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Because I randomly get angry and it's uncontrolled. I feel suicidal	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Something bad has happened to him	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
I feel hopeless. I must be hopeless	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I always do the wrong thing, I always make mistakes I hate myself	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Maybe people found my joke offensive	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
