原始文本	情绪化推理	以偏概全	乱贴标签	读心术	先知错误	非此即彼	应该句式	放大	罪责归己	心理过滤	否定正面思考	罪责归他
我从来都比别人差半截，别人轻而易举就能发现我漏洞百出，我是个不堪一击的纸老虎。	0	0	1	0	0	0	0	0	0	0	0	0
不会吧，怪不得之前有人说我看起来凶凶的，看来我以后要注意一下表情了，放松放松	0	0	0	0	0	0	0	0	0	0	0	0
我不配当一个母亲，我没有能力。	0	0	0	0	0	1	0	0	0	0	0	0
我很用功了啊，可是每门课都考得稀巴烂，为什么会这样啊。我一定不适合学习。	0	0	0	0	0	0	0	0	1	0	0	0
欢迎竞争，正好我还比较懒，这样正好督促我投资自己。	0	0	0	0	0	0	0	0	0	0	0	0
女朋友会因为我减肥失败而和我分手	0	0	0	0	0	0	0	0	0	0	0	0
世界上所有人全都背着我忙忙碌碌，我被一道玻璃门隔开，只有我独自一人。	1	0	0	0	0	0	0	0	0	0	0	0
各种各样的事情永无止境，上班就是这么充满痛苦。	0	0	1	0	0	0	0	0	0	0	0	0
我就是不适合这个比赛，我不能成功的，从一开始我就要知道	0	0	0	1	0	0	0	0	0	0	0	0
他不喜欢跟我打球，我以后不能找他打篮球，他会讨厌我的。	0	0	0	1	0	0	0	0	0	0	0	0
我怎么知道我在减肥还是控制不住，我怎么可以这样，我太罪恶了。	0	0	0	0	0	0	0	0	1	0	0	0
我家里的每一个人都好像对我充满了敌意，他们都欺负我，高高在上，瞧不起我。我深深地感到被排斥，我讨厌他们那傲慢无礼的态度。我好像是家里的瘟神，没人喜欢我。	0	1	0	0	0	0	0	0	0	0	0	0
我的反应也许是慢了点，但是我的正确率要比其他同学高	0	0	0	0	0	0	0	0	0	0	0	0
竟然在我不知情的情况下，生活的压力已经从父母转移到我身上了。	0	0	0	0	0	0	0	0	0	0	0	0
再这样下去身体真的要吃不消了，这种日子什么时候才能到头啊。我一定是个工作狂，我就这么毁掉自己的生活吧。	0	0	0	0	0	1	0	0	0	0	0	0
我就是个懦夫，明明对这些活动很感兴趣，可就是不敢参加。	0	0	1	0	0	0	0	0	0	0	0	0
他虽然跟我生气言语上带些火气，但初衷是好的，他是关心我	0	0	0	0	0	0	0	0	0	0	0	0
不可以一直这样垂头丧气的，我还有其他的案子，能因为我自己的情绪而损害了有诉求的人的利益，提起精神来	0	0	0	0	0	0	0	0	0	0	0	0
我一定要好好配合治疗，为了再一次能正常生活，我要乐观起来，嗯我很乐观！	0	0	0	0	0	0	0	0	0	0	0	0
我连自己的成果都保护不好，会失去工作，以后只能流落街头受冻挨饿。	0	0	0	1	0	0	0	0	0	0	0	0
我好没用，吃个鸭脖都能出事，我干嘛要在看电视的时候吃东西呢，我这不是活该被卡着嘛，我真是活该，我个废物。	1	0	0	0	0	0	0	0	0	0	0	0
说明我应该交一些喜欢出去玩的朋友	0	0	0	0	0	0	0	0	0	0	0	0
请教请教老师同学，再加把劲，我一定没问题的	0	0	0	0	0	0	0	0	0	0	0	0
算了，至少这些钱的去处是明朗的，没有被用来做什么不好的事情	0	0	0	0	0	0	0	0	0	0	0	0
竟然落选了真不可思议，下次再试试吧。	0	0	0	0	0	0	0	0	0	0	0	0
所有人都有不小心的时候，宽容一下就过去了	0	0	0	0	0	0	0	0	0	0	0	0
家都把我忘记了，没有人主动与我联系，他们肯定已经不再需要我了。	0	0	0	1	0	0	0	0	0	0	0	0
谁知道是不是只有他一个人喜欢这么做呢，跟他走得近的那些人没准也有这种毛病	0	0	0	1	0	0	0	0	0	0	0	0
绝对是因为我自我意识太过剩了，太看得起自己了，才会造成这种结果。	0	0	0	0	0	0	0	0	1	0	0	0
我一个人在这里略感孤独孤单，我患有抑郁症的人生没有亮光了。	1	0	0	0	0	0	0	0	0	0	0	0
回去肯定又要挨批评找家长，真难过	0	0	0	0	0	0	0	0	0	0	0	0
处了这么久的好朋友，他的想法有的时候和我大相径庭，以此类推，这个世界上可能根本没有什么完全能够理解你的人	1	0	0	0	0	0	0	0	0	0	0	0
别人马上都会知道我偏心，我的名声就会彻底没了！	0	0	0	0	1	0	0	0	0	0	0	0
我靠他养着，脱离了他我会流落街头，被所有人嫌弃	0	0	0	0	1	0	0	0	0	0	0	0
连彩礼都拿不出来，谁会和我结婚呢？我注定孤独终老，一生都找不到伴侣。	0	1	0	0	0	0	0	0	0	0	0	0
融入别人的生活不一定总是容易，但是我仍然可以尝试一些方法来改善我们的关系。	0	0	0	0	0	0	0	0	0	0	0	0
我家真的很穷，勉勉强强吃个饱饭，有些时候连书都付不起。这样的日子什么时候才是头啊	0	0	0	0	0	0	0	0	0	0	0	0
一个人怎么连一个阶段总结性的照片都能丢呢？！我真的不配称作一个合格的人	0	0	1	0	0	0	0	0	0	0	0	0
我怎么这么不孝顺啊，居然这样伤害自己的父母，我真该死，我是个不孝子。	0	0	1	0	0	0	0	0	0	0	0	0
这件事还是不要和家里人说了，因为我就是个没用的累赘。	0	0	0	0	0	0	0	0	1	0	0	0
次次来次次通，我的未来肯定也像这样充满了痛苦。	0	0	0	0	1	0	0	0	0	0	0	0
何况他们焦虑何事，皇上不急太监急，等我下次考试成绩肯定进步啊。	0	0	0	0	0	0	0	0	0	0	0	0
身体差、效率低，我真是个废物，什么都干不好。	0	0	1	0	0	0	0	0	0	0	0	0
我喜欢你们说我是个怪物，是的，我完全看到了我这个怪物。	0	0	1	0	0	0	0	0	0	0	0	0
他当初因为区区一点鸡毛蒜皮的事情跟我闹翻，真是一个小气鬼	0	0	1	0	0	0	0	0	0	0	0	0
不只是友情，世间所有的感情都不是长久的东西。	0	1	0	0	0	0	0	0	0	0	0	0
我妈妈早上在厨房里吵来吵去把我吵醒，把我吓得屁滚尿流。	0	0	0	0	0	0	0	0	0	0	0	0
路过的行人把我扶了起来，但我认为他们一定是觉得我很漂亮，所以想要占我便宜，没有人会发自内心帮助别人。	0	0	0	1	0	0	0	0	0	0	0	0
输掉的官司会成为我职业生涯的污点，我的职业生涯就完了	0	0	0	0	0	1	0	0	0	0	0	0
看吧，我就知道，我就是个蠢货，工作做不好，投资也选不对，本来挣得就不多，现在还全部赔出去了，我真是，蠢到家了	0	0	1	0	0	0	0	0	0	0	0	0
断就要断干净，反正和好也会再次吵起来，下次只会闹得更凶。这说明我们根本不是真正的朋友，只是一时兴起罢了。	0	1	0	0	0	0	0	0	0	0	0	0
所以我担心我可能再也睡不着了。	0	1	0	0	0	0	0	0	0	0	0	0
究竟是谁说的，尴尬死了，我一定要揪出来	0	0	0	0	0	0	0	0	0	0	0	0
狗狗只咬我，我做了什么让它不满，我真是服了自己，净会找事	0	0	0	0	0	0	0	0	1	0	0	0
我最近总是失眠，听网上专家说，睡眠不好影响头发，我头发肯定要掉光了。太可怕了。	0	0	0	0	1	0	0	0	0	0	0	0
同学们都很瞧不起我，因为我是穷人家的小孩，他们总是盯着我衣服上的补丁看，他们总在背里嘲笑我，那些锋利的眼光，真让我想找个地缝藏起来。	0	0	1	0	0	0	0	0	0	0	0	0
是我太丑了，生来就不受待见，连生我的父母都忍受不了我的这张烂脸。	0	0	0	0	0	0	0	0	1	0	0	0
没有人联系我，我这两周感到很孤单	0	0	0	0	0	0	0	0	0	0	0	0
这小孩让我感到头疼，或许这段婚姻不正确，不如早点离婚吧	1	0	0	0	0	0	0	0	0	0	0	0
和爸妈吵架的时候，我孩子就在旁边看着我，给他立了一个坏榜样，我真是一个不合格的母亲。	0	0	1	0	0	0	0	0	0	0	0	0
我就是个脾气火爆油盐不进的人	0	0	1	0	0	0	0	0	0	0	0	0
还好发现的早，现在回家整理来得及。	0	0	0	0	0	0	0	0	0	0	0	0
我就是个爱胡思乱想的怪物！每天神神叨叨，疑神疑鬼，只会折腾自己的身心！这下好了，确诊了精神疾病，更是和别人格格不入！	0	0	1	0	0	0	0	0	0	0	0	0
我是父母的养子，他们这么突然的离开，就是为了摆脱我，他们不想再养育我了	0	0	0	1	0	0	0	0	0	0	0	0
如果因为偷吃东西害得自己没瘦下来，那我就是一个好吃懒做的胖子了	0	0	0	0	0	1	0	0	0	0	0	0
今天出门就看见邻居那个臭老太婆了，真晦气，果然外卖就丢了	0	0	0	0	1	0	0	0	0	0	0	0
天将降大任于斯人也，必先劳其筋骨，饿其体肤，这一定是对我的考验，我挨过去这段清苦的日子，好日子就来了	0	0	0	0	0	0	0	0	0	0	0	0
我毫无原因地失控地哭泣，我开始第一次发生恐慌发作，最糟糕的是我感到孤立无援。	1	0	0	0	0	0	0	0	0	0	0	0
这是什么世道，所有的坏事都被我们家承包了	1	0	0	0	0	0	0	0	0	0	0	0
他们现在卷我，以后肯定也会被卷，会被新的人淘汰，谁也跑不了！	0	0	0	0	1	0	0	0	0	0	0	0
我早晚被股票害死，我干嘛去碰这条股票啊	1	0	0	0	0	0	0	0	0	0	0	0
总问这么多要干嘛啊，是不是就是想精神控制我，我一辈子被绑在他们身边就满意了，想死。	0	0	0	0	0	1	0	0	0	0	0	0
怎么这两个星期都没人约我玩啊，我都快在家里待发霉了。这样下去，我会变成一个孤僻的怪人，连朋友都没有。	0	0	1	0	0	0	0	0	0	0	0	0
我每晚都没有祷告，心神不宁，现在的失眠就是上帝对我不敬的惩罚，我真的做错了。	0	0	0	0	0	0	0	0	1	0	0	0
我去打扰他们，会耽误他们干正事，再亲近的人之间也会变得疏远，和父母相处真是件难事.	1	0	0	0	0	0	0	0	0	0	0	0
富人和穷人的差距就是这样吧，这个世界就是不公平的，去他娘的存款	1	0	0	0	0	0	0	0	0	0	0	0
一想到和狗狗在一起玩耍的日子，我的眼泪就止不住地往下掉，我会想你的！	0	0	0	0	0	0	0	0	0	0	0	0
我这么难受，他爸爸却整天在外面花天酒地不亦乐乎，完全不知道关心一下我	0	0	0	1	0	0	0	0	0	0	0	0
我需要做的就是去上学，取得好成绩，别无其他，切都他妈的地狱，我不想再这样做了。	0	0	0	0	0	1	0	0	0	0	0	0
我不配说话，别人说话的时候我只配在旁边听着	0	0	1	0	0	0	0	0	0	0	0	0
我肯定会一直不幸福下去，这没法改变	0	0	0	0	1	0	0	0	0	0	0	0
在这件事上，我肯定以后都会跟别人吵起来的，以后我就不能跟其他人讨论这个问题。	0	1	0	0	0	0	0	0	0	0	0	0
我的自尊被踩碎了，再也拼不起来了，我不想再出去见人	0	0	0	0	0	1	0	0	0	0	0	0
重不重要有什么关系，即便我很重要也永远无法逃脱他们对我的偏见与欺侮	0	1	0	0	0	0	0	0	0	0	0	0
我只是担心两天后我会搞砸这一切，这美好的一切。	0	0	0	0	1	0	0	0	0	0	0	0
同学们去向不一，希望未来能能温和一些，我打算看场电影。	0	0	0	0	0	0	0	0	0	0	0	0
算了我板不住的，反正也会失败，干脆继续看手机吧，开摆	0	0	0	0	0	0	0	0	0	0	0	0
我明明是好心安慰你，他却更加生气了。	0	0	0	0	0	0	0	0	0	0	0	0
我长得肥，是不是可以试一试报个减肥班啊。挑战一下自我，看看我到底能减掉多少斤。	0	0	0	0	0	0	0	0	0	0	0	0
大家都会嘲笑我，认为我不能独立行走	0	0	0	1	0	0	0	0	0	0	0	0
我连最简单的陪伴孩子都做不到，我还能给他什么呢？我以后也无法陪伴他，我什么都给不了他	0	0	0	0	0	1	0	0	0	0	0	0
她不再和我一起用餐，一定是找到了新的伴侣，她想笑话我一个人吃饭的尴尬。	0	0	0	1	0	0	0	0	0	0	0	0
真烦，找这么久都没找到毕业照，这可是我生命中最重要的东西之一了，找不到它，我的学生时代就毫无意义。	0	0	0	0	0	1	0	0	0	0	0	0
这怎么办，我没办法交代了，只能等着处置了	1	0	0	0	0	0	0	0	0	0	0	0
我这么争取他们肯定能看见，就是不喜欢我，所以故意忽略我。	0	0	0	1	0	0	0	0	0	0	0	0
妻子只爱孩子不爱我了，那么多年的感情就这么被柴米油盐磨没了	0	0	0	1	0	0	0	0	0	0	0	0
我和我的父亲关系非常的好，从小到大我最喜欢的就是他了，他去世我非常难过。	0	0	0	0	0	0	0	0	0	0	0	0
我在这个新环境里没有朋友，我的社交一直都很失败	0	1	0	0	0	0	0	0	0	0	0	0
辛苦这么久却没有任何回报，我没兴趣做事，竞选让我感到丢脸，让我感觉害怕	1	0	0	0	0	0	0	0	0	0	0	0
这样就累了，那可不行，如果这次完不成所有任务，那上级下次说不定不派任务给我了，没有业绩，年终奖也泡汤了，那我拿什么给孩子交学费呢，孩子的一生不能毁在我手里。	0	0	0	0	1	0	0	0	0	0	0	0
在网吧挥霍时光，如果被辛勤工作的父母发现，他们的心一定会深感失落。	0	0	0	0	0	0	0	0	0	0	0	0
我所有的存款全没有了，真的好痛苦，赚钱真是一点用也没有，反正也要被偷走。	1	0	0	0	0	0	0	0	0	0	0	0
这个人是故意的见不得我好，她就是嫉妒我喜欢那个人。	0	0	0	1	0	0	0	0	0	0	0	0
总之我就是一个软弱的人，遇到这种事情就更失去活着的意义了，我告诉别人也只会给他们带来麻烦。	0	1	0	0	0	0	0	0	0	0	0	0
他说我是个不重要的人，我很伤心	0	0	0	0	0	0	0	0	0	0	0	0
我的眼睛本来这么好，现在被我弄成这样，我真没用，我真的好难过，把自己糟蹋成这样，我活着又有什么意思，一了百了算了。	0	0	0	0	0	1	0	0	0	0	0	0
他那么爱我，对他好点，我为什么这么糟糕？为什么我这么敏感，我只会让他更加痛苦。	0	0	0	0	0	0	0	0	1	0	0	0
我教的太差了，都怪我没有把知识点讲清楚，也不够有耐心，给他辅导了这么久，才考个7: 非歪曲0: 非此即彼分	0	0	0	0	0	0	0	0	1	0	0	0
合作伙伴们已经离我而去，他们一定都在嘲笑我经营失败，他们真是一群背信弃义的人。	0	0	0	0	1	0	0	0	0	0	0	0
也不知道最近怎么总是这样，去医院检查一下吧，比较安心	0	0	0	0	0	0	0	0	0	0	0	0
又是这样，每一次都是这样，永远都会忽视掉我，我真的不想再过这种被无视的日子了	0	1	0	0	0	0	0	0	0	0	0	0
他是不是没注意到自己说话这么难听啊，不行我得暗戳戳的提点一下他。	0	0	0	1	0	0	0	0	0	0	0	0
要好好努力赚钱，不要让妻子这么辛苦了，能够享享清福。	0	0	0	0	0	0	0	0	0	0	0	0
半年了，找工作的事还是没有一点进展，我真是个失败透顶的人	0	0	1	0	0	0	0	0	0	0	0	0
我上课听得也太不认真了，也不知道问问同学们，就想当然地开始复习，都怪我自己不够用心。我总是犯这种错误，真的是没救了。	0	0	0	0	0	0	0	0	1	0	0	0
前几天我听说一家店的店主跳楼自杀了，因为实在活不下去了，我大概最后也会走上他的老路，变成从天而降的一声闷响，从此人间蒸发	1	0	0	0	0	0	0	0	0	0	0	0
每个月的房租水电费已经压的我喘不过气来，这个世道就是不公平的，究竟要我怎样啊	0	0	0	1	0	0	0	0	0	0	0	0
下次再也不来了，这破地方连饭店都没有，一看就毫无前途。肯定都是一群失败者住在这里！	0	1	0	0	0	0	0	0	0	0	0	0
公司产品主要用户喜好这方面我确实有所欠缺，我的确不符合这家公司的入职标准	0	0	0	0	0	0	0	0	0	0	0	0
这个论文我永远也写不好了，我再也不想写论文了	0	1	0	0	0	0	0	0	0	0	0	0
无论我做什么都是错的，不管我做什么他们都会怀疑我	0	0	0	0	1	0	0	0	0	0	0	0
孩子最近总是逃学，很明显的厌学心理，孩子班主任会以为孩子家里出什么变故了吧	0	0	0	1	0	0	0	0	0	0	0	0
行吧，这还是高蛋白呢。	0	0	0	0	0	0	0	0	0	0	0	0
幸运的是，这次的事故并没有造成什么大的损害	0	0	0	0	0	0	0	0	0	0	0	0
她现在才1: 情绪化推理9岁就已经开始频繁夜不归宿！她再长大一些是不是就要住在外面，再也不回家了！	0	1	0	0	0	0	0	0	0	0	0	0
家人们都有自己的生活，我也是啊，不怎么联系也是可以理解的啊，而且，这样不正说明我们都生活得挺充实的。	0	0	0	0	0	0	0	0	0	0	0	0
我就是个没有经营头脑的废物，当时开这个店就是个错误	0	0	1	0	0	0	0	0	0	0	0	0
有一丢丢的不平衡，或许是我的错觉，可能大家分配到的任务实际上做起来是差不多的·	0	0	0	0	0	0	0	0	0	0	0	0
他怎么话这么多，真烦	0	0	0	0	0	0	0	0	0	0	0	0
我怎么这么倒霉，什么都做不好，什么都干不成！我是世界上最失败的人！	0	0	0	0	0	1	0	0	0	0	0	0
我与她的矛盾产生很大程度上是因为我的小心眼，都是因为我太小肚鸡肠了，其实她根本没什么错	0	0	0	0	0	0	0	0	1	0	0	0
没想到我也有得肿瘤的一天，这可能是上天告诉我，我的人生已经进入倒计时了吧！	0	0	0	0	1	0	0	0	0	0	0	0
明明大家每天都有烦恼，只有我没办法好好管理自己的情绪！总是多想！才会患上精神疾病的，要是我心态平和，根本不会有这么多事情！都怪我那么敏感，那么神经质	0	0	0	0	0	0	0	0	1	0	0	0
偏偏挑我没时间的时候约我，哎呀，怎么办才好？	0	0	0	0	0	0	0	0	0	0	0	0
所有同事都一个样，平常好像和你很亲密，一到真正有事的时候只会推脱，没有一个能真正拿你当朋友！	0	1	0	0	0	0	0	0	0	0	0	0
战争要来了，炮火的声音震耳欲聋，硝烟弥漫，我感觉整个世界都要崩塌了。	1	0	0	0	0	0	0	0	0	0	0	0
我的身体里孕育着一个新的生命，想到这里我觉得生理上的痛苦也并非不能忍受	0	0	0	0	0	0	0	0	0	0	0	0
这个老师怎么三番五次地找我啊，他肯定是对我有意见，跟我写的论文没关系，就是看我不顺眼故意找茬	0	0	0	1	0	0	0	0	0	0	0	0
公司这次大裁员老板肯定会留下那些跟他走的近的人，至于我，大抵是应该马上要被裁掉了吧	1	0	0	0	0	0	0	0	0	0	0	0
偶尔的增加任务也能说明同事和领导对我有信任，也许是给我机会，我应该好好干	0	0	0	0	0	0	0	0	0	0	0	0
那些想见的人已经没法联系了，现在照片也找不到了，我的人生将永远缺失一部分！我是个不完整的人了！	0	0	0	0	0	1	0	0	0	0	0	0
不尊重他人的信任和隐私会给人留下不愉快的印象，破坏关系。	0	0	0	0	0	0	0	0	0	0	0	0
肯定是有人在背后阴我，让我投资失败！	0	0	0	1	0	0	0	0	0	0	0	0
"我觉得每个人总是有精彩的派对和美好的时刻，而我是一个局外人。
                 此外，我真的不认为庆祝时间的流逝有什么意义"	1	0	0	0	0	0	0	0	0	0	0	0
挑起争端的国家真恶心，果然就不应该存在武器这种东西。	0	0	1	0	0	0	0	0	0	0	0	0
路人肯定都觉得我是个傻子，大家心里肯定在想这个人为什么这么笨，好丢人啊。	0	0	0	1	0	0	0	0	0	0	0	0
或许真的像他们所说的那样，孤独才是人生的常态	0	1	0	0	0	0	0	0	0	0	0	0
我不知道该怎么办..我很孤单..我不能再这样做了..我觉得自杀不是一种选择，因为我会留下所有的伤害，但我必须做点什么..我觉得我正在慢慢死去	1	0	0	0	0	0	0	0	0	0	0	0
看他们装模作样热热闹闹的聊我可真烦啊，我以后身边也一定充满了这种人！	0	1	0	0	0	0	0	0	0	0	0	0
是我昨天办事情给忘记了，我怎么这么笨这点事都记不住。	0	0	0	0	0	0	0	0	0	0	0	0
寝室那么多舍友，就他成天和我对着干，他是看不上我才这么做的吧。	0	0	0	1	0	0	0	0	0	0	0	0
我不是他们亲生的孩子他们还对我那么好，我却一而再再而三的跟他们吵架，我真是个白眼狼	0	0	1	0	0	0	0	0	0	0	0	0
唉，感觉一天忙忙忙忙叨叨的却没有什么结果，好累呀。	0	0	0	0	0	0	0	0	0	0	0	0
我承认这次考试成绩不好，是我之前没有认真学习的结果，这是我自己应该负责的。	0	0	0	0	0	0	0	0	0	0	0	0
这段关系只有我一个人在乎	0	1	0	0	0	0	0	0	0	0	0	0
我不喜欢职场上的尔虞我诈	0	0	0	0	0	0	0	0	0	0	0	0
她为什么不能把话放到明面上说呢，我对这种不信任表示很失望	0	0	0	0	0	0	0	0	0	0	0	0
感觉最近超级累，其他老板可能在暗地里笑话我呢，怎么才能不这么累啊？	0	0	0	1	0	0	0	0	0	0	0	0
父亲这么生气都是因为我，是我干的不对。	0	0	0	0	0	0	0	0	1	0	0	0
我永远也不会受到孩子们的爱戴的，永远！	0	1	0	0	0	0	0	0	0	0	0	0
没钱是我一生中最大的困难，我现在的窘迫都是因为没钱，有了钱就什么都好办了	1	0	0	0	0	0	0	0	0	0	0	0
我每天都在跟他吃饭，肯定是我吃饭慢，他肯定是觉得我在浪费他的时间，所以不跟我吃饭	0	0	0	1	0	0	0	0	0	0	0	0
他们表面上帮我，但心里早就烦透我了吧。	0	0	0	1	0	0	0	0	0	0	0	0
这几周她都没找我，或许比较忙吧，大家都需要努力过自己的生活啊	0	0	0	0	0	0	0	0	0	0	0	0
我都这样了，怎么还没瘦下来啊！到底要我怎样才行啊！我真的好崩溃，这么胖，我不如去死！	0	0	0	0	0	1	0	0	0	0	0	0
这个月不想额外接单了，唉，好累啊，或许我就应该去死，其他的爱啥啥吧	1	0	0	0	0	0	0	0	0	0	0	0
上学总是发生这种让我觉得很尴尬的事，我讨厌上学我再也不想来上学了	1	0	0	0	0	0	0	0	0	0	0	0
所有人都在看我减肥减不下去的笑话呢，我现在已经听见了他们的笑声	0	0	0	1	0	0	0	0	0	0	0	0
他肯定觉得我就是一个乱借钱的人吧	0	0	0	1	0	0	0	0	0	0	0	0
降低薪水，但是没有人被裁掉还是挺好的，希望公司可以渡过难关	0	0	0	0	0	0	0	0	0	0	0	0
我既不适合考研也不适合工作，我就是个废物	0	0	1	0	0	0	0	0	0	0	0	0
争取下一次的奖学金，我必须更加刻苦努力。	0	0	0	0	0	0	0	0	0	0	0	0
嗯？好奇怪啊，他干嘛突然超到我前面，有些莫名其妙，所幸没耽误我什么，随便他好了	0	0	0	0	0	0	0	0	0	0	0	0
每次交流最后都会演变为吵架，真闹心，不如断绝关系！	0	0	0	0	0	1	0	0	0	0	0	0
我就知道，我得远离社交，我天生就不是这块料	0	0	1	0	0	0	0	0	0	0	0	0
很简单的一件事，我给朋友造成了很大的困扰	0	0	0	0	0	0	0	0	1	0	0	0
对不起，我只是需要发泄。最近我的抑郁症非常严重，我无法通过活动来淹没它，它总是在我的脑海中消失。	1	0	0	0	0	0	0	0	0	0	0	0
他根本就不理解我，他就是见不得我自己拿主意	0	0	0	0	0	1	0	0	0	0	0	0
我感到悔恨，我没有给她足够的关心，这一切的痛苦都是我自找的。	0	0	0	0	0	0	0	0	1	0	0	0
哼，我就说，当老板的才没有这么好心呢，一个个都只想着榨取员工价值，现在暴露出真面目了吧	0	1	0	0	0	0	0	0	0	0	0	0
父母根本就不了解我，根本就不明白我想要什么。	0	0	0	1	0	0	0	0	0	0	0	0
我应该好好照顾他们，毕竟他们辛苦一辈子都是为了我。	0	0	0	0	0	0	0	0	0	0	0	0
我知道大家都更喜欢他，我输给了更受欢迎的人，这是我应得的。	0	0	0	0	0	0	0	0	1	0	0	0
最疼爱我的人不在了，我好难受，没任何心情做事，就像待着什么也不干。	1	0	0	0	0	0	0	0	0	0	0	0
这次拒绝了他，舍友肯定会记恨我的吧，他以后不会给我帮忙了	0	0	0	0	1	0	0	0	0	0	0	0
我们彼此确实需要更多的空间，这样会让我们的恋爱谈的更顺利	0	0	0	0	0	0	0	0	0	0	0	0
妻子走得这么突然，岳父岳母肯定会怪我没有保护好她的吧	0	0	0	1	0	0	0	0	0	0	0	0
好烦啊骂我干什么，我不就是晚上没回家吗又死不了，我就知道得骂我，哪次有点小事就生气，他脾气就是差，永远不能好好跟我说话。	0	1	0	0	0	0	0	0	0	0	0	0
我可真是个蠢东西，吃鸭脖能卡住喉咙 	0	0	1	0	0	0	0	0	0	0	0	0
我倒霉，我的朋友都没有遇到这种事，就只有倒霉的我会这样。	0	1	0	0	0	0	0	0	0	0	0	0
这么晚了，要是遇到什么事情，女儿能自己处理好吗？她会不会害怕？真是让人担心。	0	0	0	0	0	0	0	0	0	0	0	0
他的态度，他的矜持，如同隔着一道无形的壁垒，让我明白我们的友谊将永远停留在此，再无前进的可能。 	0	0	0	0	1	0	0	0	0	0	0	0
为了不让委托人失望，我会尽力维护他们的权益，因此对输掉官司的可能感到恐惧。	0	0	0	0	0	0	0	0	0	0	0	0
他突然离开了我，没有任何解释原因，我进一步自我厌恶，因为我在各个方面都是一团糟，我觉得我更应该把事情藏起来，想办法结束这一切，这样我就不会再给任何人带来负担。	0	0	0	0	0	0	0	0	1	0	0	0
我真惨，还这么年轻就已经患上了如此严重的背痛，我的身体和精神一直遭受着巨大的折磨，生活太痛苦了	0	0	0	0	0	0	0	0	0	0	0	0
怪不得这些年他们对我的态度都这么恶劣，一定是觉得我这个捡来的崽浪费了他们的资源吧	0	0	0	1	0	0	0	0	0	0	0	0
