原始文本	情绪化推理	以偏概全	乱贴标签	读心术	先知错误	非此即彼	应该句式	放大	罪责归己	心理过滤
I became close friends with a girl in my class. Then it developed into a bit more than friends when we started flirting with each other. since our classes were on part time basis in the morning, i used to work in a consulting firm in the afternoon till 8 at night. i was well paid over there and had been liked by all, even my boss. i am very soft spoken and very rarely hurt others.	0	0	0	0	0	0	0	0	0	0
Several weeks ago, my wife said that I was sexually insatiable, that at my age, most males are not as sexually active as me. We have been married for over 18 years and our sex lives are, in my opinion, quite good and healthy. She claims that I need to talk with some guys my own age and find out how often they have sex. I contend that I don’t really care about other guys sex lives, and that I focus on my own. Secondly, because I work with some very attractive women, both young and mature, that continues to wet my appetite and that I need help in the sex department. I also mention to her that when I have a great sexual partner, that’s enough for me. She doesn’t care for anal sex and is not overly thrilled with oral. Receiving she likes but giving, please see anal sex comment. Much of our sex is in the bed and at night. When I suggest something new it is not met with approval. I think basically it comes down to this: she says that I am not satisfied even though we have very good sex. Adventuresome sex is out of the question and so is morning and afternoon sex, whether I suggest oral sex or regular bedroom sex. I think she is a wonderful sexual partner and a tremendous wife. But I think there should be more in the adventuresome area as well as positions, time of day, and varieties.	0	0	0	0	0	0	0	0	0	0
My brother was diagnosed with schizoaffective disorder about 10 years ago. He’s 35, lives with our father, he’s dependent, unemployed, doesn’t really leave the house at all unless to go to therapy because he has a lot of issues with social anxiety, all his groceries and meds are brought to him. I know it’s not an ideal situation but I have no control over his treatment. He’s pretty well enabled to just watch movies and smoke cigarettes all day.	0	0	0	0	0	0	0	0	0	0
From the U.S.: I am 25 years old and am feeling lost. I have a creative brain and am drawn to the arts but I have a hard time being “creative” I feel like everything has been done already and everyone that I know is on a path to success.There is nothing about me that stands out as an artist, and I feel like I just don’t offer anyone anything. I went to film school and graduate with a film degree and I still don’t know what I want to do with it. There was nothing in school that really stood out to me as far as something in the film industry that I excelled in.	0	1	0	0	0	0	0	0	0	0
I am suspicious that my boyfriend my have molested his younger sister when they were kids. She recently made a comment to him in front of me stating “yeah, if someone saw what you were doing to me when we were younger, you’d probably kill them” (We were on the topic of being driven to murder). Now, alone that doesn’t seem too bad, but he has made prior comments he thinks are funny such as “get there before the hair” and “well if you tell them you’re 16 and they believe you, then why not?”	0	0	0	0	0	0	0	0	0	0
Greetings. I have come to terms that I might have Bipolar II. I’m not certain. I seem to be clinically depressed, suffering from severe bouts of depression all my life on and off. Sometimes, my libido will increase out of the blue, and I’ll have this sporadic desire to sleep with many people, but I do not act on it. I also can become extremely moody, sometimes I’m happy for a few hours, but succumb to the bleak side of sadness and disappointment. I can also become angry for no reason, irritable, agitated, restless, and anxious all at once. I also seem to have racing rapid thoughts that are very difficult to control or tune out. Angry outburts are normal when I feel agitated, panicky, with rapid racing thoughts. My mood swings also heighten during my PMS. Sometimes I feel very creative, but that is rare, since I’m mostly severely depressed. Sometimes I will read for hours and hours, like its the end of the world. Sometimes, my skin feels like its crawling all over my body. Perhaps these symptoms are more align with hyperthyroidism, but I’m not exactly certain.	0	0	0	0	0	0	0	0	0	0
I’m a 15-year-old female. The past 6 months of my school life and sleep schedule have been deteriorating to me physically, but recently it seems like my emotions have been going haywire too. I used to get 8-9 hours of sleep nightly, but have now gotten 4-5 hours of sleep for the past 5 months and have been holed up in my room doing homework more than ever.	0	1	0	0	0	0	0	0	0	0
From a teen in Canada: I’m 15, my sister has many mental disorders, when i was 12 i was depressed, i’;m happy now. i’m overwhelmingly sexually attracted to girls. I’m quite dark, i like dark humor, im nice, im also a jerk. I never show anger publicly, on my own i scream silently at the smallest things. Im a huge movie fan, when i see a scene where my favorite character gets attention i freak out. i love it. it’s like a walking seizure. I have a lot of desires. one day i want to be a hero, the other a villain.  im really selfish, im a bit of a hypochondriac but i love mental illness. i really want one. I like fire. not in a dangerous way. i try really hard to be a rebel. i feel like i have multiple personalities mixed into one. my views and opinions on things change weekly. i fall in love with girls as long as their beautiful and good girls.	0	0	1	0	0	0	0	0	0	0
From Canada: Hello, Last week, I thought I was smelling things that were not there – turns out there were mostly sources for the smells, though I did not smell anything like rotten fish, eggs or anything drastic. On Friday, I read on the internet that smelling things that are not there can be one of the early signs of developing Schizophrenia. From reading that, I got scared and started worrying I was developing Schizophrenia. I went to the doctor on Friday to talk about bloating and headaches, he did a neuro test, and he said that I was fine. However,  I smelled some stuff in my room, but I figured it was cause my room was being messy, but recalling back to the article, I was worried that it was Schizophrenia. I do not have the smell issues anymore.	0	1	0	0	0	0	0	0	0	0
When I was 15 years old (I am 30 today) I sat on the edge of the 16th floor window seriously considering to jump because I couldn’t handle what my father kept saying about me not achieving the scores he wanted me to score in high school. The 2 only things that stopped me were my religion, I am a Muslim, and in Islam; taking your own life will send you to hell fire. The second factor is I was worried about my mother, she is too sensitive and I was almost certain she wouldn’t be able to handle and live with such an action.	0	0	0	1	0	0	0	0	0	0
Hi, I was wondering if you could tell me if I need to turn in me or my ex to authorities. First, my ex was not very kind to me when I was with him. I told him I had a severe form of Non-Verbal Learning Disability when I got diagnosed and that the reason I am somewhat okay socially is because my parents always over encouraged me to be social and one of my friends taught me how to talk to people “normally”(and I’d go to my parents with any social questions). He would tell me I seemed fine and I would tell him that part of it was my generalized anxiety making me stay more quiet and overthink and overthink until I figured out non-awkward or offensive things to say (esp. in a text). When I would bring this up, he would basically tell me to try harder because when we first dated (and I was on Abilify, an antipsychotic that actually can help autistics), I didn’t act so different. Also during the relationship, he told me that he laughed during gore scenes in movies and had obsessive urges to harm people, but drowned it out with stories he told himself and video games. Now that we are broken up and he treats the relationship as if it were my fault for it ending and makes me do all the work to get him to talk to me, we have parted ways completely, and too often I have urges to harm him, mainly to show him the pain he caused me and my cause other, and also because he is entering the military with confidential computer data access which scares me. I’m angry with myself for becoming like him, but he called me out of my mind once, and I had a psychiatrist that tried to convince me I was with practically no evidence. Granted I was histrionic in the relationship and easily anxious that he’d break up with me when we had a really intense text fight involving all caps. He also accused me more than once of cheating when I never once cheated. Never agreed to call me as my therapist suggested us do for my NVLD. Told me it was my fault I struggled so badly to pay attention to my teacher because she never stayed on one topic. He wasn’t nice.	0	0	0	0	0	0	0	0	1	0
I’m 17 and I’ve been depressed for about 4 and a half years. It all started when my grandmother died, and I had to move to a whole new city and go to a new school. I always had a lot of friends, well like two or three, right now that feels like so much. When I moved I developed a social disorder, I can’t talk to anyone and I have severe anxiety whenever I am around a lot of people especially teenagers. I moved when I was in the middle of 8th grade, I went to a new middle school and I didn’t make any friends and I thought, oh its okay, maybe I’ll make some in high school. But it only got worse. Right after my grandmother died I also started pulling out my hair (trichotillmania) so it made me very self-conscious to the point where I thought I was the ugliest person ever which only made it harder to talk to people.	0	0	1	0	0	0	0	1	0	0
My sister has autism spectrum disorder, she always had problems with depression and anxiety. She always spoke to herself when we were younger, but about a year ago she got hit by a car and fractured her skull in 12 places. And now she’s different, she has violent tendencies and she says she thinks people are talking about her or staring at her when no one is, she thought my mom and aunt were talking about her but we haven’t seen her in over a month so she couldn’t have known at all. She thinks everyone is out to get her. I tried looking up schizophrenia and the stages of it but it doesn’t quite match up. She feels every emotion, she is very caring, but she needs help but won’t get it because she thinks what she’s hearing is true.	0	0	0	1	0	0	0	0	0	0
I have been dating my boyfriend for almost 4 years and I feel like I don’t even know him anymore. We fight almost everyday over stuff like he spends more time with his friends than me or he doesn’t keep his word. I think he doesn’t care because he’s always picking a fight with me and he’s blaming every fight on me saying I started it like a child. Every time we fight he always leaves and when he comes back he acts like nothing happened, like all the cursing and the hurt feeling were nothing. I try to tell him leaving is not the answer and that if he wants things to get better that we need to talk things through. I’m constantly telling him that and he just does it again. In our relationship when one of us does something wrong we have to apologize. He’s been at fault for so many fights thats he literally said he’s tired of apologizing and doesn’t want to say it anymore. Earlier in our relationship he had been talking to other girls, cheating on me and I still have no idea why I stay with him. Part of me thinks its because I love him and I’ve been with him for so long, and another part of me thinks I wasted all my time with this one guy and I just can’t throw it away now, he met my family he does everything with us, my nephew loves him, every one of my classmates look up to us for staying together throughout high school which is rare. I recently fought with him cuz he had told me he was going to come over cuz I had pulled through a horrible night with his family. He bailed on me and so I didn’t talk to him. He said if I didn’t text him back he would get a twitter or instagram and it bothers me because lots of girls add him and as you can see I don’t trust him. I ignored him and he got an instagram. so that made me furious that I broke up with him yesterday. I’m having trouble coaping with this that I always come running back to him because I miss him, but then again we fight again. I dont know what to do. Please give me advice.	0	0	0	0	0	0	0	0	0	0
I have been married for 12 years to a 43year old woman, who has been diagnosed with bipolar. She was diagnosed in 2003 .Most of the symptoms were present throughout our married life together. She refuses to take her medication or receive any medical treatment, since her diagnoses. The last three years have been the greatest trouble for me. To be honest with you looking back on our relationship I would say the last 10 years have been a challenge. We have three children, two boys and one girl, ages 12, 10 and 5 and it has been hardest on them. In January 2006 I made the decision to leave the relationship. It was the hardest thing I’ve ever done.	0	0	0	0	0	0	0	0	0	0
From a 16 year old in the U.S.: I try to be social sometimes, but I seem to have a speech impairment that makes the tone of my voice seem rude, and hostile. I also have a lisp, stutter quite often, my voice cracks, and my voice is either too loud or too soft (To be honest, I’ve probably spoken more this year than I have my entire life, so I am just realizing these things now).	0	0	0	0	0	0	0	0	0	0
From a teenager in the U.S.: About a year ago, I moved from Tennessee back to the state I was born in. It wasn’t until then, that I began to notice more and really start to understand why I have never felt normal. I believe I have some kind of Anxiety and/or Depression problem. I have yet to see a professional, but I plan on it soon. As of right now, I’m looking for some uplifting advice to get me through until then. I’ve struggled with these issues my whole life. I’m just now realizing what it is and how it has affected me. As I go on in life, I’m struggling more than I should with who I am, and what to do. I’ve hit rock bottom and I’m down to the point where I literally can only say,”I just don’t know anymore”.	0	0	0	0	0	0	0	0	0	0
I saw two motorcycles race past my house a few nights ago than I heard a loud bang and glass breaking a second later. Then I heard a lot of screaming. I went inside to get a phone and I called 911. One of the motorcyclists had t-boned a car making a left across the street a few houses down. I was the second neighbor to the scene and expected the worst. When I got there the first neighbor was trying to talk to the driver of the car and the screaming was coming from a group of the motorcyclists’ friends who witnessed the accident because they were there watching the motorcycles race. I went to the motorcyclist and instantly knew he was gone and that he went in an instant. I tried calming down the spectators and getting people back until help arrived. A few of the spectators started to become hostile. They began throwing things at the nearly split in half car and yelling threats to the driver and myself. I became so angry at them I decided to walk away. I could hear police coming so I decided to slow down and redirect traffic on the usually busy road. Now here’s what I’m having trouble dealing with:	0	0	0	0	0	0	0	0	0	0
I have been with my girlfriend for about six months now. She tell me that I am what she has been looking for in a relationship. I believed her, I do not hide anything in our relationship. I know how it feels, I even cut off other relationships that I know will be an issue with our growing progress. But she has not and still communicate with them in ways that hurt me to read the txt. She says she has known them for years and have helped her when she was troubled, but to invite sex and communicate it in ways that I should be involved only. it depresses me.	0	0	0	0	0	0	0	0	0	0
From the U.S.: Alright, I am a male just shy of thirty. When I was fourteen years old I began having severe anxiety and have dealt with OCD since I was a child. I realize that OCD enables us to imagine things, which may be the case here. I have an uncle that is a psychopath. I realize that psychopaths aren’t wired to feel anxiety or irrational thinking, which, the anxiety alone would preclude me from possibly being a psychopath, but am still worried about the possibility of sociopathy.	1	0	0	0	0	0	0	0	0	0
My brother-in-law is demonstrating symptoms of schizophrenia. It appears that he has been diagnosed as such, since he has prescriptions for several anti-psychotic medications. However, he does not personally believe that his is mentally ill. What he DOES currently believe is that he is being stalked by people who are intent on tormenting him. These people talk to him through the walls, look in through the windows, walk on the roof at night, shine flashlights at him, and know everything he does, everywhere he goes.	0	0	0	0	0	0	0	0	0	0
Hello, I’m a 3rd year animation student and I’m concerned about my mental health. For the past few weeks I’ve been shifting from severe depression to a kind of mania. I might have felt this “high”once before but not to this point- especially during finals where most individuals are depressed and stressed. Instead of being depressed or even stressed out over work, I’m not. I’ve even been falling behind on work or being late to class and I simply don’t care.	0	0	0	0	0	0	1	0	0	0
From a young teen in Morocco: I have experienced hallucinations for about 9 years now. Mom refuses to take me to a doctor for it and makes me feel guilty for it, along with other issues. They’re just getting worse as time goes on, more intense, and they’re making me more dysfunctional. I am undiagnosed, and therefore do not know the cause of my hallucinations. Some people say it’s normal, but they interrupt my functionality in the world. Sometimes, my auditory hallucinations won’t shut up, which mostly occurs when I want to sleep, as a result, I can’t sleep in those cases. My visual hallucinations are a pain to deal with, and are the ones which occur most. I don’t get olfactory or gustatory hallucinations much, but if I do, they’re usually pleasant. Tactile hallucinations have decreased, but when my hallucinations are at a peak, they intensify as well. By “peak” I mean when my visual and auditory hallucinations merge and become excessive that I lost all ability to differ between reality and hallucinations, videos of simulations of psychotic episodes describe this pretty well. Could this be a disorder, or is it really something that’ll pass, and which I could potentially be causing myself(As my mom says.)?	0	0	0	0	0	0	0	0	1	0
I live with my 2 younger siblings, alcoholic father, and grandmother, who has custody of my siblings and I. She has repeatedly told my father that if he’s caught drinking, she’ll kick him out. But every time we do catch him, she let’s him stay. As of right now, he has to stay because my grandmother is currently unemployed due to an accident leaving her physically incapable of returning to work for a few more months. My father will get drunk during the night and walk around the house knocking things over and breaking them. He’ll also try to cook while we’re all asleep occasionally, and has more than once left on the stove, heating up pots and pans until they literally turn red from the heat. He eats everything and rarely pays for anything but the bare minimum of what he’s supposed to. He’s a danger to us and a terrible father. My grandmother and I both want him gone, but we just aren’t financially able to do so. I do have a job working for my aunt, earning 60 dollars a week, but obviously, that’s not enough to pay bills every month and keep 4 mouths fed. I would appreciate some advice on how to deal with living with him or how to find a way to afford to kick him out. We’ve all lived with this for years and we’re sick of it. Your help is appreciated, thank you.	0	0	1	0	0	0	0	0	0	0
From the U.S.: I have been dating my boyfriend for almost 2 years now. My parents have met him on several different occasions and it seemed like they got along. My dad would even hug him at the end of the night, which is big for him. Unfortunately, I would get snide comments in an email the next day about flaws and red flags that they saw about him.	0	0	0	0	0	0	0	0	0	0
My Mom and I are constantly fighting. I can’t remember a day that we haven’t fought. I’ve told myself that I hate her since I was in fourth grade. I’ve always felt that shes had it out for me, constantly criticizing, calling me “rude”, ganging up on me. It makes me feel terrible about myself. I was diagnosed with depression when I was in sixth grade and it has been a difficult life ever since. I have tried to commit suicide twice and I blame my mother for it. I think she is a terrible person who doesn’t love me or anyone but herself. I am not kind to her either, though. I have told her I hate her and I recently told her that I feel like she doesn’t act like my mother. It’s gotten to the point where I can’t be around her without getting mad. I know that I have an attitude problem and I’m trying to fix it, but she doesn’t help at all. When I feel like I’m having a good day she’ll catch me off guard and just start screaming at me. I don’t know what to do except yell back and it just elevates the situation. She’s the type of person who will carry on until she feels she has gotten her point across. Even when my dad tells her to stop, she doesn’t.	0	0	0	0	0	0	0	0	1	0
To Whom It May Concern: I am writing to request advice regarding an issue I have with my current GP. I have a regular GP and have been generally dissatisfied with responses to my questions and information given in regards to my injury/ sickness. However overall my GP has been fairly good and I think the unsatisfactory answers may be due to my doctor being sick of seeing me.	0	0	0	0	0	0	0	0	0	0
From the U.S.: My husband and I used to both be friends with some neighbors. One of them has a TBI. For a year, she was calm around us, although we knew that she screamed and berated her husband each day. Then, she turned the same volatile screaming on me one day because she didn’t like that I was doing my MBA homework. I have never returned.	0	0	0	0	0	1	0	0	0	0
I either Procrastinate or avoid doing things. Simple things, like checking email, paying rent (even when I have the money), homework, studying. I do the same to things that I LOVE doing. Eg: 1) I procrastinate doing Homework until the last hour but I love it when I’m doing it. 2) I procrastinate studying for a class but when I finally do I REALLY enjoy it.	0	0	0	0	0	1	0	0	0	0
I’ve recently been feeling really overwhelmed and just overall down especially about myself. Anytime anyone says a bad thing about me, I feel insanely guilty and burst into tears either right there or later by myself. I’m constantly worrying about everything even if I have no control over it and tonight, I cut myself. I’d thought about it for a while, but tonight was the first time I actually did it and, to be honest, it felt good. I’m worried, but I don’t want tell my mom. She’s always stressed and has to deal with my two brothers who both have issues and are seeing therapists which are expensive and we don’t have a lot of money. My mom is also seeing a therapist. In my personal life, my dad’s getting remarried to an uber-Catholic woman (I’m agnostic, leaning towards atheist and both of my brothers are atheist) with four other children! We’ve recently moved into their house and now my mom is suing for full custody, so they’re fighting even more. I’m in a rigorous school program and I am constantly worrying about grades and whether I’ve turned in my work even though I know I did. I just don’t know what to do anymore.	0	0	0	0	0	0	0	0	1	0
From the U.S.: I am a junior in high school, and I have a boyfriend. My grades are above average, and I laugh with a couple of friends at school. However, I am not happy, at the least only half of me is happy at a time. I feel as though I am having two different feelings. One is of an extrovert, and the other is of an introvert. I have strong feelings of a desire to be completely alone and isolated from the world, but I also have a strong desire to be outgoing and to go out an be with people from school. I have times during the day when I keep to myself and if someone talks to me I smile awkwardly hoping they would go away, but in the same day I could be laughing and joking around and making plans with the same person. It is as if my personality changes throughout the day. There is no pattern. I do try to interact with the people around me since it is a requirement in lots of school work, but I am only half in it. I do not want to be alone but even so I want to be isolated.	0	0	1	0	0	1	0	0	0	0
From a teen in the U.S.: I have an issue where whenever I do something stupid or wrong I hear my voice in my head telling me bad things about myself. For example, earlier today I had to stop drawing because my voice was telling me “You can’t do anything right.” “You should just go cut(or)kill yourself.”. I don’t know if it’s just my depression or a part of having dissociative identity disorder. I just want it to stop because it really effects my already low esteem.	0	0	0	0	0	0	0	0	1	0
For about 2 years now my brother had been dating this girl and she has broke up with him 6 times and he keeps going back to her he just about got in a wreck a month ago over it. He has been fighting with my dad about every little thing and talks to her after every fight.	0	1	0	0	0	0	0	0	0	0
 I have always had a fear of death, after when I was little we lost one of the family pets (We treat them more like family members) and ever since then I have had these strange, at random, panics about me dying, and that I just don’t want my story to end. Its the only fear that i have that does this to me. It happens randomly, I can be watching a TV Show, or just laying down in bed. its weird. On a side note I was hurt by a male family member as a child in a sexual, physical and emotional manner and I do believe this could be the source but I don’t know for sure.	0	1	0	0	0	0	0	0	0	0
Hello! I’m mostly writing this to get feedback on issues I think I might have; I have suspicions. Sometimes I wake up with a knot in my stomach for no reason, or have trouble getting out of bed in the morning, and have trouble keeping calm in public (I’m more than certain I have generalized anxiety and depression – irritability, nervousness, sluggishness, upset stomach/nausea, panic in public situations). I’ve come out of an abusive relationship recently, and have severe anxiety attacks and panic when I think about my abuser, so I also believe somewhere mixed in with generalized anxiety, I have a case of PTSD-induced anxiety and anxiety attacks.	0	0	0	0	0	0	0	0	0	0
So, I have known for a while now but think I have been in denial. My mum would always hid away to answer a phone call, Which I noticed wasn’t her usual phone. Me and my sister’s never addressed it to be anything. I found the phone and looked at the messages, I know I shouldn’t have, and there were messages clearly stating that she was seeing someone else other than my dad. I haven’t told anyone as Im worried that they will say that I need to let my dad know and I don’t want to break up the family, and worried that they will judge me for keeping it a secret for so long, but she is having more and more of these phone calls, and i really don’t know what to do. (From Scotland)	0	0	0	0	0	0	1	0	0	0
From the U.S.: My 13 year old granddaughter has called me today to tell me that she is very unhappy at home and that she has been cutting herself. I asked her if she had told her mom. She said yes the first time she did it two years ago, when she was in 6th grade. She said that she wanted help and to go to a counselor or doctor about it but her Mom never took her. So now she told me that she cut herself again last week. What do i do?? She is very unhappy at home and not feeling good about herself.	0	0	0	0	0	0	0	0	0	0
Hello, I am on here regarding a recent introspection I seem to be having of myself. I am no expert, I haven’t a PhD, but I’ve noted over the past year my emotions have become more and more dull. I rarely feel bad about hurting other people emotionally and physically, in fact, the other day I almost bludgeoned my sister with a hammer. I only pretend to be apologetic. I get an adrenaline rush instead of guilt, and the lines between fear and excitement in my mind have become blurred. I’m still doubtful though because I am a sadomasochist, I like to get hurt as well as hurt people. I’m not completely emotionless, I cry (albeit over selfish reasons). I get angry. I laugh. I know how to act nice as well, everyone who is not close to me can rarely discern my intentions. At certain times I can make myself feel a certain way. I am still a teenager so maybe I am in way over my head, but I am reaching 18 soon, and I fear I will let this part of me consume my being.	0	0	0	0	1	0	0	0	0	0
 I come from a Chinese background where my parents are really traditional. However, my family background hasn’t been the greatest due to my parents beating me physically and even verbally and emotionally when I make mistakes. For example, I had overdrawn my checking account and my mom punched me in the face, which caused her to knock out one of my contacts. My dad has called me several names when he was angry about something I said or did. But, when they aren’t mad; everything is fine. I feel a lot of psychological issues have been burnt into my mind because of their behavior.	1	0	0	0	0	0	0	0	0	0
 For years i hated my sister so much. there are things she does that i really hate. my family is divorce. My sister and i are with my mother. She had surgery years ago due to stress. I listen to everything my mother says, i fix the house when it comes to plumbing, computers, TV, networking, bathroom tiles, ceilings, etc. i work every hard and i really dont ask for anything and i respect others. My mother tells me not to yell at her or tell her what to do and my mother can not discipline her because she is worried she will have surgery again. I cant do anything because i dont want to stress my mother as well. therefore my sister can do what ever she wants.	0	0	0	0	0	1	0	0	0	0
My boyfriend and I broke up in early November because my friends and family started saying that he was trying to keep me from them and started a rumor that he was a woman beater. My best friend heard this rumor and called my mother which in return she freaked out on my boyfriend. This rumor is not true, he has never laid a hand on me. Me and my boyfriend could not survive the rumors because and I tried to defend my parents. Since then I moved out of his house and into my parents. My parents are over bearing and undermine everything I do with my 5 year old child. I am 27 years old and afraid to tell my parents that I want to work things out with my ex boyfriend, I’m afraid to talk to him on the phone around my parents, or see him. My parents told me that if i ever moved back in with him that they would try to take my daughter from me. I am a good mother and have done nothing to deserve this. Please help I need an outside source.	0	0	0	0	0	0	0	0	0	0
